accX,accY,accZ,gyroX,gyroY,gyroZ
0.20,0.21,1.60,-1.34,-3.43,0.71
0.17,0.21,1.61,-0.59,-3.27,0.53
0.18,0.20,1.60,-3.03,-3.02,0.84
0.19,0.20,1.60,-0.39,-3.14,0.50
0.18,0.20,1.61,0.56,-1.98,0.48
0.18,0.21,1.61,1.27,-1.19,0.32
0.18,0.21,1.61,1.24,-1.25,0.43
0.18,0.21,1.61,0.63,-1.60,0.45
0.18,0.21,1.61,1.38,-0.84,0.29
0.17,0.21,1.61,1.59,-1.20,0.29
0.17,0.21,1.62,0.94,-1.13,0.52
0.17,0.21,1.62,0.68,-1.20,0.60
0.18,0.21,1.61,0.08,-2.40,0.47
0.17,0.20,1.61,0.02,-2.54,0.58
0.18,0.21,1.61,-0.53,-2.50,0.55
0.18,0.21,1.61,-0.22,-2.02,0.57
0.18,0.21,1.61,-0.43,-2.53,0.66
0.17,0.21,1.60,0.18,-1.71,0.56
0.18,0.20,1.62,-1.11,-2.13,0.67
0.18,0.21,1.60,0.63,-2.45,0.36
0.18,0.20,1.62,0.01,-3.10,0.48
0.17,0.21,1.61,0.33,-2.11,0.44
0.18,0.21,1.61,0.11,-1.80,0.63
0.17,0.21,1.60,0.10,-2.31,0.52
0.18,0.20,1.61,-0.04,-2.37,0.56
0.17,0.21,1.61,0.13,-1.75,0.48
0.18,0.21,1.61,0.45,-2.20,0.47
0.17,0.21,1.62,-0.47,-2.40,0.70
0.18,0.21,1.61,0.26,-1.53,0.44
0.18,0.21,1.61,-0.26,-2.89,0.50
0.17,0.21,1.60,0.32,-2.31,0.40
0.18,0.20,1.63,-1.59,-3.06,0.70
0.17,0.22,1.59,0.51,-2.06,0.43
0.18,0.20,1.62,-1.24,-3.17,0.70
0.17,0.21,1.60,0.16,-1.46,0.40
0.17,0.20,1.60,-0.82,-3.09,0.52
0.18,0.24,1.65,0.82,0.99,0.24
0.22,0.19,1.56,1.22,-9.38,0.43
0.11,0.20,1.63,-2.96,-3.53,0.90
0.18,0.20,1.60,0.54,5.14,0.65
0.20,0.21,1.58,-0.47,-9.77,0.55
0.13,0.20,1.65,-0.56,2.82,0.69
0.19,0.21,1.58,-0.93,-1.11,0.66
0.20,0.21,1.60,0.89,-5.73,0.31
0.16,0.21,1.63,0.18,-0.37,0.41
0.18,0.21,1.60,-0.32,-1.80,0.64
0.18,0.20,1.60,-0.18,-3.87,0.51
0.17,0.21,1.62,0.12,-1.66,0.40
0.18,0.20,1.61,-0.09,-2.16,0.46
0.18,0.21,1.60,0.21,-2.77,0.41
0.17,0.21,1.62,0.05,-1.95,0.45
0.17,0.21,1.61,-0.13,-1.88,0.45
0.18,0.21,1.61,-0.04,-2.42,0.54
0.18,0.21,1.61,0.36,-2.45,0.39
0.18,0.21,1.61,-0.12,-2.56,0.46
0.17,0.21,1.60,0.82,-2.24,0.40
0.17,0.20,1.62,-1.08,-1.79,0.60
0.17,0.22,1.61,0.50,-0.67,0.41
0.19,0.21,1.62,0.14,-2.46,0.43
0.17,0.21,1.61,0.67,-2.13,0.37
0.17,0.20,1.61,0.21,-1.32,0.35
0.18,0.21,1.61,0.16,-1.46,0.55
0.18,0.21,1.60,0.72,-2.03,0.39
0.17,0.20,1.61,0.64,-1.40,0.39
0.18,0.21,1.61,0.76,-1.41,0.40
0.18,0.21,1.61,0.88,-1.91,0.37
0.17,0.21,1.60,0.09,-2.18,0.43
0.17,0.21,1.62,0.67,-1.09,0.47
0.18,0.21,1.60,0.79,-2.93,0.40
0.17,0.20,1.62,0.74,-0.92,0.52
0.19,0.22,1.62,0.39,-2.05,0.64
0.17,0.20,1.59,2.39,-2.43,0.39
0.17,0.22,1.62,0.72,0.43,0.66
0.18,0.21,1.60,1.92,-2.62,0.60
0.15,0.21,1.61,1.13,1.38,0.70
0.18,0.22,1.61,1.79,-1.46,0.40
0.16,0.21,1.60,2.11,-0.62,0.43
0.18,0.22,1.63,1.09,-0.95,0.63
0.17,0.22,1.60,1.95,-2.40,0.53
0.16,0.21,1.62,-0.38,-0.45,0.79
0.18,0.23,1.62,1.15,-1.48,0.59
0.20,0.22,1.61,0.56,-3.94,0.91
0.15,0.21,1.61,-0.24,0.27,1.12
0.17,0.21,1.61,0.11,0.05,1.15
0.17,0.21,1.61,0.19,-2.09,0.98
0.17,0.22,1.61,0.14,-3.32,0.82
0.17,0.22,1.61,-0.05,-3.08,0.81
0.17,0.22,1.61,-0.87,-4.18,0.89
0.15,0.22,1.61,-1.47,-1.47,0.87
0.18,0.22,1.62,-2.78,-5.88,0.99
0.13,0.23,1.62,-3.68,-3.34,0.85
0.18,0.21,1.61,-10.11,-15.34,1.36
0.19,0.20,1.61,-8.95,-8.01,1.35
0.17,0.21,1.60,-6.70,-8.86,1.00
