accX,accY,accZ,gyroX,gyroY,gyroZ
0.37,-0.03,1.67,-19.06,-19.04,38.46
0.35,0.10,1.34,-24.56,-23.97,-55.35
0.36,0.14,1.31,-26.90,-19.33,-54.67
0.38,0.17,1.29,-28.66,-21.17,-57.02
0.42,0.16,1.33,-35.22,-18.26,-60.91
0.45,0.15,1.37,-39.05,-11.97,-63.42
0.46,0.08,1.50,-37.45,2.64,-64.03
0.37,0.06,1.64,-17.17,17.28,-59.97
0.33,0.10,1.67,-2.68,9.39,-56.60
0.31,0.12,1.69,-11.42,-0.49,-54.52
0.29,0.13,1.76,-5.70,-2.66,-46.84
0.24,0.17,1.77,12.56,4.41,-32.01
0.22,0.22,1.78,20.23,1.85,-16.65
0.25,0.20,1.79,14.65,-6.50,-4.74
0.32,0.29,1.78,13.21,-16.07,1.99
0.31,0.37,1.74,7.45,-6.55,12.58
0.27,0.29,1.97,-11.54,10.71,31.59
0.19,0.14,2.00,-16.54,-11.37,39.99
0.26,-0.05,2.00,-33.36,-61.27,28.32
0.34,-0.10,1.75,-26.55,-84.27,8.54
0.38,-0.05,1.41,-19.52,-69.77,-10.93
0.41,-0.07,1.28,-22.69,-35.26,-27.37
0.32,-0.06,1.24,-6.36,9.00,-41.83
0.26,-0.02,1.28,1.23,26.80,-58.98
0.15,0.07,1.32,-1.92,25.57,-74.33
0.14,0.15,1.29,-5.20,16.58,-79.28
0.19,0.21,1.26,-9.90,21.53,-72.93
0.19,0.22,1.33,-11.09,39.18,-60.87
0.14,0.22,1.49,-10.86,44.40,-48.61
0.13,0.22,1.58,-9.01,28.17,-37.08
0.14,0.21,1.64,-13.74,7.03,-29.03
0.17,0.21,1.60,-10.93,-14.47,-19.81
0.23,0.15,1.64,-12.41,-21.72,-10.54
0.29,0.12,1.63,-7.48,-31.62,-10.69
0.28,0.15,1.57,-4.15,-30.91,-13.50
0.25,0.18,1.57,-0.15,-24.31,-15.10
0.24,0.22,1.61,2.14,-25.63,-16.32
0.26,0.24,1.65,-1.56,-31.70,-20.84
0.32,0.23,1.69,-4.35,-31.93,-24.66
0.34,0.17,1.77,-0.76,-17.49,-28.43
0.29,0.28,1.84,5.36,-17.74,-34.39
0.37,0.53,1.66,9.92,-37.92,-39.41
0.62,0.35,1.70,-30.61,-23.72,-37.33
0.57,-0.06,2.00,-57.98,37.06,-36.52
0.30,-0.14,2.00,-33.60,23.15,-48.55
0.28,-0.01,1.96,-5.49,-30.57,-57.62
0.42,0.02,1.58,-5.37,-44.55,-63.07
0.50,-0.03,1.44,-3.77,-16.11,-67.95
0.44,-0.01,1.44,14.32,29.32,-67.41
0.26,0.08,1.46,22.68,50.45,-64.45
0.17,0.07,1.48,19.76,41.52,-60.72
0.13,0.04,1.49,9.81,19.02,-57.85
0.19,0.00,1.43,6.15,-1.60,-54.49
0.22,0.01,1.37,3.26,-7.45,-51.77
0.23,0.03,1.29,2.09,-12.46,-51.73
0.25,0.08,1.19,-0.33,-9.04,-50.64
0.23,0.11,1.20,-3.16,4.97,-46.03
0.22,0.14,1.23,-5.23,12.18,-39.60
0.20,0.14,1.36,-14.73,12.86,-33.58
0.22,0.11,1.41,-15.63,1.95,-27.55
0.27,0.10,1.46,-16.96,0.24,-21.98
0.27,0.02,1.64,-20.39,4.28,-18.27
0.17,0.09,1.74,-13.56,-3.27,-14.99
0.14,0.18,1.69,-4.76,-15.60,-7.94
0.18,0.24,1.68,-5.95,-17.10,2.99
0.20,0.19,1.74,-3.07,-8.35,13.91
0.21,0.18,1.81,0.30,-9.24,20.29
0.28,0.28,1.81,0.70,-22.61,21.68
0.30,0.39,1.66,-7.23,-22.17,25.05
