accX,accY,accZ,gyroX,gyroY,gyroZ
-0.07,0.10,0.71,-220.47,123.28,47.13
0.03,0.04,0.95,-202.29,116.31,26.90
-0.11,0.04,0.93,-174.91,125.17,-5.12
-0.20,0.02,1.05,-209.06,87.16,-8.49
-0.16,-0.06,1.45,-250.00,74.21,5.74
-0.32,-0.25,1.62,-250.00,180.33,1.79
-0.22,-0.22,2.00,-190.03,6.77,5.41
-0.27,-0.27,2.00,-130.76,50.06,15.06
-0.08,-0.26,2.00,-94.35,8.93,38.45
0.14,-0.29,2.00,-35.83,-7.71,32.49
0.21,-0.31,2.00,23.25,-39.71,0.25
0.16,-0.33,2.00,56.51,-71.01,-24.69
0.13,-0.33,1.95,76.74,-68.10,-29.99
0.14,-0.31,1.93,117.17,-56.02,-30.98
0.14,-0.29,1.74,174.53,-52.47,-45.44
0.05,-0.26,1.40,219.44,-60.62,-68.58
-0.09,-0.21,1.12,230.16,-68.91,-75.22
-0.14,-0.14,0.97,231.86,-84.51,-66.31
-0.14,-0.07,0.84,238.17,-79.48,-52.40
-0.10,0.06,0.60,219.87,-86.99,-61.17
-0.21,0.12,0.45,180.70,-66.92,-71.11
-0.27,0.20,0.40,141.98,-46.89,-63.53
-0.27,0.24,0.40,129.38,-37.76,-48.28
-0.28,0.28,0.32,128.56,-30.03,-41.34
-0.30,0.33,0.10,119.29,-17.95,-28.49
-0.23,0.40,-0.05,78.91,-3.75,-13.72
-0.23,0.45,-0.07,12.33,13.08,-5.18
-0.16,0.46,0.06,-44.08,-23.07,-3.71
-0.15,0.47,0.19,-72.03,-39.09,-14.75
-0.25,0.44,0.29,-82.61,-46.01,-32.90
-0.44,0.41,0.34,-87.34,-29.67,-35.84
-0.61,0.39,0.28,-106.16,49.72,-15.58
-0.63,0.39,0.38,-165.65,67.13,-7.99
-0.69,0.34,0.66,-206.89,79.40,27.40
-0.63,0.28,0.94,-198.25,46.85,78.06
-0.58,0.25,1.08,-171.17,32.06,98.05
-0.54,0.19,1.19,-161.86,18.49,113.50
-0.48,0.11,1.33,-153.89,25.72,130.95
-0.41,0.04,1.48,-141.23,46.15,155.46
-0.28,-0.07,1.61,-114.11,34.38,176.93
-0.07,-0.12,1.68,-77.35,11.83,182.82
0.00,-0.18,1.60,-36.84,17.04,178.86
0.09,-0.28,1.46,-1.09,4.75,180.24
0.15,-0.30,1.39,-3.10,20.52,190.72
0.29,-0.34,1.53,-18.61,26.48,206.12
0.40,-0.40,1.62,-2.64,-7.00,199.59
0.51,-0.43,1.68,19.72,-51.75,184.89
0.74,-0.48,1.77,43.31,-84.11,177.15
