accX,accY,accZ,gyroX,gyroY,gyroZ
0.77,-0.49,0.47,-114.83,-183.50,-250.00
1.34,-0.15,0.31,-107.64,-171.86,-250.00
1.76,0.04,0.22,-90.09,-111.50,-250.00
2.00,-0.13,0.17,-39.98,-17.43,-47.25
1.83,-0.40,0.19,44.52,35.58,205.95
1.53,-0.51,0.35,103.95,80.38,249.99
1.00,-0.83,0.52,131.50,115.58,249.99
0.47,-1.02,0.74,159.05,122.42,249.99
0.12,-1.03,0.89,199.63,135.90,249.99
-0.33,-0.64,1.07,218.36,118.42,249.99
-0.84,0.13,1.35,158.51,49.51,249.99
-1.05,0.26,1.80,-52.04,-1.08,-107.19
-1.01,-0.72,1.57,-207.63,-54.76,-250.00
-0.35,-0.88,1.09,-207.25,-112.40,-250.00
0.48,-0.60,0.66,-177.90,-156.17,-250.00
1.20,-0.32,0.39,-158.11,-145.61,-250.00
1.71,-0.24,0.32,-114.28,-93.57,-250.00
1.96,-0.38,0.23,-15.95,-18.32,-33.84
1.89,-0.35,0.21,83.48,34.07,249.99
1.40,-0.31,0.42,114.12,87.42,249.99
0.93,-0.72,0.63,112.59,129.78,249.99
0.42,-0.99,0.80,131.28,126.88,249.99
0.07,-0.88,1.02,156.88,111.99,249.99
-0.42,-0.54,1.14,160.35,79.26,249.99
-0.80,0.25,1.49,29.34,27.93,67.01
-1.06,-0.63,1.73,-194.33,-4.31,-250.00
-0.83,-1.49,1.36,-197.03,-56.34,-250.00
0.04,-0.92,0.92,-106.19,-112.90,-250.00
0.94,-0.43,0.57,-59.14,-116.72,-250.00
1.37,-0.12,0.42,-41.37,-99.88,-245.29
1.71,-0.12,0.30,-9.00,-69.50,-91.35
1.95,-0.25,0.21,43.11,-15.58,142.61
1.83,-0.39,0.25,95.87,58.18,249.99
1.33,-0.71,0.45,134.11,108.79,249.99
0.67,-1.06,0.69,175.58,129.06,249.99
0.15,-1.03,0.89,221.76,107.97,249.99
-0.34,-0.79,1.16,245.65,74.48,249.99
-0.59,-0.12,1.29,213.52,29.79,249.99
-0.72,0.60,1.59,46.56,10.09,25.13
-1.20,-0.11,1.74,-153.67,-26.82,-250.00
-0.89,-0.62,1.46,-210.50,-103.18,-250.00
-0.04,-0.55,1.04,-190.65,-145.65,-250.00
0.72,-0.56,0.66,-164.25,-134.68,-250.00
1.19,-0.64,0.47,-135.63,-107.26,-250.00
1.43,-0.55,0.42,-94.08,-77.94,-250.00
1.93,-0.30,0.32,-44.30,-21.10,-131.84
2.00,-0.47,0.33,16.52,56.08,91.21
1.71,-0.45,0.44,69.71,88.25,249.99
1.23,-0.58,0.70,89.84,116.55,249.99
0.58,-0.76,0.88,105.42,124.34,249.99
0.11,-0.81,0.99,131.20,136.58,249.99
-0.38,-0.55,1.08,149.60,141.58,249.99
-0.99,-0.06,1.43,73.26,96.53,177.12
-1.64,-0.56,1.92,-95.59,11.35,-250.00
-1.35,-1.04,1.65,-151.47,-93.73,-250.00
-0.43,-0.91,1.11,-108.55,-161.41,-250.00
0.47,-0.46,0.61,-70.11,-211.23,-250.00
1.18,0.04,0.42,-76.48,-196.11,-250.00
1.77,0.43,0.33,-83.23,-125.85,-250.00
2.00,0.31,0.30,-63.12,-19.41,-109.15
1.90,-0.02,0.35,-11.84,29.01,145.95
1.54,-0.21,0.49,23.47,69.92,249.99
1.13,-0.69,0.65,33.42,104.65,249.99
0.62,-1.16,0.79,64.22,117.09,249.99
0.13,-1.38,0.92,126.16,117.37,249.99
-0.15,-1.08,1.06,186.36,93.79,249.99
-0.42,-0.44,1.20,204.80,60.26,249.99
-0.78,0.21,1.41,125.07,26.12,249.99
-1.11,-0.01,1.62,-53.86,-16.07,-129.81
-0.94,-0.77,1.38,-169.68,-102.56,-250.00
-0.27,-0.75,0.93,-170.12,-186.58,-250.00
0.69,-0.28,0.54,-161.82,-222.02,-250.00
1.60,0.02,0.38,-166.67,-164.52,-250.00
1.95,-0.18,0.34,-126.10,-65.30,-250.00
1.91,-0.35,0.27,-25.66,-11.25,-28.95
1.75,-0.27,0.36,53.46,37.34,231.87
1.41,-0.54,0.54,72.24,82.09,249.99
0.93,-1.10,0.65,92.96,119.35,249.99
0.52,-1.22,0.80,140.93,121.80,249.99
0.19,-0.93,0.92,183.22,117.87,249.99
-0.20,-0.41,1.08,183.18,124.76,249.99
-0.92,0.03,1.44,92.68,109.57,142.40
-1.68,-0.53,1.85,-85.20,-20.48,-250.00
-1.38,-0.76,1.58,-137.77,-100.26,-250.00
-0.53,-0.78,1.11,-129.43,-171.46,-250.00
0.21,-0.58,0.66,-95.18,-223.12,-250.00
1.08,-0.21,0.37,-77.66,-238.23,-250.00
1.67,0.10,0.29,-78.89,-184.47,-250.00
2.00,0.15,0.20,-56.83,-102.02,-200.81
2.00,0.14,0.14,-23.11,-19.55,4.52
1.79,-0.10,0.25,-3.66,49.74,159.29
1.40,-0.55,0.39,5.43,102.51,209.93
0.95,-1.01,0.54,32.69,131.58,249.99
0.58,-1.18,0.77,92.09,145.63,249.99
0.20,-1.10,0.93,160.77,150.15,249.99
-0.22,-0.72,1.00,208.92,156.41,249.99
-0.81,0.21,1.28,150.99,137.56,249.99
-1.55,-0.20,1.92,-63.67,49.11,-231.29
-1.47,-1.16,1.65,-153.27,-89.29,-250.00
