accX,accY,accZ,gyroX,gyroY,gyroZ
-0.25,-0.87,1.77,-30.23,-167.69,-199.31
-0.70,-0.50,1.90,-35.87,-161.10,-190.83
-0.90,-0.12,1.69,15.36,-140.05,-159.61
-0.80,-0.09,1.58,40.99,-114.89,-115.84
-0.57,-0.45,1.67,12.46,-98.06,-98.88
-0.52,-0.40,1.63,-13.87,-92.85,-125.45
-0.67,0.09,1.35,7.91,-56.59,-152.57
-0.73,0.69,1.03,65.82,17.56,-123.59
-0.36,0.67,0.86,51.93,85.91,-52.32
-0.25,0.25,1.24,31.21,139.78,-36.69
-0.24,0.32,1.22,28.82,118.20,-92.76
-0.26,1.35,0.82,2.70,108.60,-88.77
0.18,1.26,1.56,-134.30,49.55,32.29
0.75,0.57,1.38,-128.43,-21.16,96.87
1.52,-0.23,1.11,-135.57,-57.30,71.15
1.90,-0.49,1.32,-92.83,-50.87,-46.20
1.50,-0.10,1.48,-18.36,-34.97,-144.42
1.17,0.08,1.36,71.20,-52.81,-180.71
1.09,-0.06,1.25,104.74,-37.42,-196.67
1.04,-0.30,1.59,72.46,-31.52,-220.54
0.92,-0.07,2.00,44.44,-72.01,-235.66
0.72,0.17,2.00,56.20,-83.88,-219.09
0.59,-0.12,2.00,33.62,-99.78,-164.51
0.81,-0.30,1.97,66.34,-82.90,-135.18
0.82,-0.41,1.80,64.80,-80.88,-134.47
0.61,-0.33,1.61,13.20,-93.70,-133.30
0.47,-0.07,2.00,9.26,-75.80,-117.93
0.42,0.16,2.00,31.99,-63.36,-85.38
0.60,0.05,1.97,20.94,-48.31,-53.65
0.74,-0.19,1.91,33.91,-37.86,-76.78
0.55,0.25,1.84,30.48,-43.67,-122.88
0.36,0.74,2.00,19.98,-65.57,-113.74
0.36,0.80,1.62,29.96,-77.45,-72.01
0.57,0.52,1.50,23.28,-59.48,-38.28
0.66,0.30,1.46,28.07,-47.11,-46.44
0.53,0.27,1.32,29.15,-49.84,-67.86
0.30,0.38,1.03,20.68,-52.37,-72.62
0.16,0.28,0.86,-0.24,-45.77,-51.59
0.07,0.04,0.73,-4.72,-33.93,-38.06
-0.06,-0.15,0.74,-25.70,-27.98,-38.34
-0.28,-0.04,0.87,-49.98,-42.05,-38.44
-0.47,0.05,0.88,-48.67,-63.88,-25.70
-0.65,0.02,0.63,-45.43,-67.55,-5.14
-0.83,0.09,0.56,-63.05,-39.39,19.60
-0.66,0.24,0.92,-73.41,-17.85,44.19
-0.49,0.72,1.13,-60.75,3.83,60.57
-0.34,0.86,1.92,-136.24,3.17,124.31
0.07,0.33,2.00,-138.82,33.65,175.95
0.83,-0.08,2.00,-93.31,130.28,189.72
1.26,0.12,2.00,43.87,142.72,114.94
1.24,0.69,2.00,31.51,72.58,44.94
0.85,0.91,2.00,17.43,60.74,22.09
0.65,0.83,2.00,46.23,87.69,44.17
0.80,0.39,1.49,41.32,106.41,55.85
0.83,0.10,1.12,23.71,113.27,28.98
0.66,0.19,0.84,-5.55,88.59,7.65
0.49,0.42,0.87,-3.85,55.02,25.54
0.53,0.53,0.27,65.83,48.46,54.47
0.78,0.36,0.12,34.00,58.46,82.53
1.11,0.19,0.55,-23.64,19.33,76.13
1.16,0.17,0.78,-41.11,-34.79,48.66
1.29,0.23,0.93,-14.81,-49.31,17.68
1.39,0.38,1.21,2.17,-32.49,-23.16
1.41,0.18,2.00,-88.00,-63.93,-45.56
1.50,0.07,2.00,-121.96,-98.08,-75.50
1.36,-0.11,2.00,-95.49,-110.22,-83.82
1.28,-0.79,2.00,-22.06,-76.16,-109.66
0.70,-0.67,2.00,88.04,-34.76,-192.88
